title,Abstract,year
"Modeling Noncompensatory Choices With a Compensatory Model for a Product Design Search","Market-based product design has typically used compensatory models that assume a simple additive part-worth rule. However, marketing literature has demonstrated that consumers use various heuristics called noncompensatory choices to simplify their choice decisions. This study aims to explore the suitability of compensatory modeling of these noncompensatory choices for the product design search. This is motivated by the limitations of the existing Bayesian-based noncompensatory mode, such as the screening rule assumptions, probabilistic representation of noncompensatory choices, and discontinuous choice probability functions in the Bayesian-based noncompensatory model. Results from using compensatory models show that noncompensatory choices can lead to distinct segments with extreme part-worths. In addition, the product design search problem suggests that the compensatory model would be preferred due to small design errors and inexpensive computational burden.",2015
"Data Driven Prognostics With Lack of Training Data Sets","Data-driven prognostics typically requires sufficient offline training data sets for accurate remaining useful life (RUL) prediction of engineering products. This paper investigates performances of typical data-driven methodologies when the amount of training data sets is insufficient. The purpose is to better understand these methodologies especially when offline training datasets are insufficient. The neural network, similarity-based approach, and copula-based sampling approach were investigated when only three run-to-failure training units were available. The example of lithium-ion (Li-ion) battery capacity degradation was employed for the demonstration.",2015
"Diagnostics and Prognostics of Lithium-Ion Batteries","This paper investigates recent research on battery diagnostics and prognostics especially for Lithium-ion (Li-ion) batteries. Battery diagnostics focuses on battery models and diagnosis algorithms for battery state of charge (SOC) and state of health (SOH) estimation. Battery prognostics elaborates data-driven prognosis algorithms for predicting the remaining useful life (RUL) of battery SOC and SOH. Readers will learn not only basics but also very recent research developments on battery diagnostics and prognostics.",2015
"Online Estimation of Lithium-Ion Battery Capacity Using Sparse Bayesian Learning","Lithium-ion (Li-ion) rechargeable batteries are used as one of the major energy storage components for implantable medical devices. Reliability of Li-ion batteries used in these devices has been recognized as of high importance from a broad range of stakeholders, including medical device manufacturers, regulatory agencies, patients and physicians. To ensure a Li-ion battery operates reliably, it is important to develop health monitoring techniques that accurately estimate the capacity of the battery throughout its life-time. This paper presents a sparse Bayesian learning method that utilizes the charge voltage and current measurements to estimate the capacity of a Li-ion battery used in an implantable medical device. Relevance Vector Machine (RVM) is employed as a probabilistic kernel regression method to learn the complex dependency of the battery capacity on the characteristic features that are extracted from the charge voltage and current measurements. Owing to the sparsity property of RVM, the proposed method generates a reduced-scale regression model that consumes only a small fraction of the CPU time required by a full-scale model, which makes online capacity estimation computationally efficient. 10 years’ continuous cycling data and post-explant cycling data obtained from Li-ion prismatic cells are used to verify the performance of the proposed method.",2015
"Resilience Analysis and Allocation for Complex Systems Using Bayesian Network","The concept of resilience has been explored in diverse disciplines. However, there are only a few which focus on how to quantitatively measure engineering resilience and allocate resilience in engineering system design. This paper is dedicated to exploring the gap between quantitative and qualitative assessments of engineering resilience in the domain of designing complex engineered systems, thus optimally allocating resilience into subsystems and components level in industrial applications. A conceptual framework is first proposed for modeling engineering resilience, and then Bayesian Network is employed as a quantitative tool for the assessment and analysis of engineering resilience for complex systems. One industrial-based case study, a supply chain system, is employed to demonstrate the proposed approach. The proposed resilience quantification and allocation approach using Bayesian Networks would empower system designers to have a better grasp of the weakness and strength of their own systems against system disruptions induced by adverse failure events.",2015
"A Generic Fusion Platform of Failure Diagnostics for Resilient Engineering System Design","Effective health diagnostics provides benefits such as improved safety, improved reliability, and reduced costs for the operation and maintenance of complex engineered systems. This paper presents a multi-attribute classification fusion approach which leverages the strengths provided by multiple membership classifiers to form a robust classification model for structural health diagnostics. The developed classification fusion approach conducts the health diagnostics with three primary stages: (i) fusion formulation using a k-fold cross validation model; (ii) diagnostics with multiple multi-attribute classifiers as member algorithms; and (iii) classification fusion through a weighted majority voting with dominance system. State-of-the-art classification techniques from three broad categories (i.e., supervised learning, unsupervised learning, and statistical inference) are employed as the member algorithms. The developed classification fusion approach is demonstrated with the 2008 PHM challenge problem. The developed fusion diagnostics approach outperforms any stand-alone member algorithm with better diagnostic accuracy and robustness.",2015
"Toward Customer Needs Cultural Risk Indicator Insights for Product Development","As the availability and affordability of consumer products continues to increase around the world, consumers — especially those in developing countries and living on less than $10/day — will express more discerning in their tastes and preferences. Design teams have already been operating in design for the developing world contexts for many years and more are moving into the arena on a regular basis. Many designers do not have cultural knowledge of the customers cultures they are designing for. Cultural ignorance can lead to misinterpretation of customer needs that can lead to products that do not satisfy customer needs and results in disappointed customers, low sales figures, and a frustrated design team. The Customer Needs Cultural Risk Indicator (CNCRI) method introduced in this paper provides a method for design teams to rapidly analyze customer needs for “Risk Indicators” in customer needs based upon cultural differences between the customers and the design team. By understanding early on in the design process where a lack of cultural knowledge may be a risk to the design, the design team can make informed decisions on how to satisfy customer needs effectively.",2015
"Justification, Design, and Analysis of a Village-Scale Photovoltaic-Powered Electrodialysis Reversal System for Rural India","This paper presents the merits of village-scale photovoltaic (PV) powered electrodialysis reversal (EDR) systems for rural India and the design and analysis of such a system built by the authors with planned testing to be completed in March 2015 in Alamogordo, New Mexico. The requirements for the system include daily water output of 6–15 m",2015
"Modeling Technology Strategies for Thermal Energy Services in Rural Developing Communities","Approximately 40% of the world’s population lives in energy poverty, lacking basic clean energy to prepare their food, heat water for washing, and provide light in their homes. Access to improved energy services can help to alleviate this poverty and result in significant improvements to health and livelihoods, yet past strategies for meeting the needs of this large and diverse population have often been top-down and focused on single intervention or solution, leading to limited success. Using a systems-based approach to examine residential thermal energy needs, this paper explores five intervention strategies to provide energy services for a remote off-grid village in Mali. The five intervention strategies are (1) general improved biomass cookstoves, (2) advanced biomass cookstoves, (3) communal biomass cookstoves, (4) LPG cookstoves, and (5) solar water heaters. Using a probabilistic multi-objective model that includes technical, environmental, economic, and social objectives, the potential net improvements, critical factors, and sensitivities are investigated. The results show that the factors with the most impact on the outcome of an intervention include the rate of user adoption, value of time, and biomass harvest renewability; in contrast, parameters such as cookstove emission factors have less impact on the outcome. This suggests that the focus of village energy research and development should shift to the design of technologies that have high user adoption rates. That is, the results of this study support the hypothesis that the most effective village energy strategy is one that reinforces the natural user-driven process to move toward efficient and convenient energy services.",2015
"A More Balanced Design Approach for Preserving the Usability of a Peruvian Cookstove","Over the past decade, a large amount of research has been dedicated to improving the efficiency and reducing the emissions of biomass cookstoves. The trade-off from placing such an emphasis on these two objectives is that improved cookstoves are often not as functional or desirable to the end user in comparison to their traditional cookstove. Thus, users often abandon their new improved cookstoves and sustained use is not achieved. In order for improved cookstoves to be more impactful, a different design approach is needed; improved cookstoves must be designed for usability, even at the expense of higher efficiencies or lower emissions. This paper explores the benefits of this alternative approach, which is demonstrated in the design of a replacement biomass cookstove for residents living in the Tambogrande region of Peru. The heavy use of biomass cookstoves in this small collection of villages, has resulted in many health and environmental problems for the residents. Recent field studies revealed that residents were pleased with the functionality of their traditional channel stove, yet also desired to have a stove that cooks faster, consumes less fuel, and emits less smoke. The resulting design includes a set of adaptable, inexpensive pot skirts that can be integrated with their current channel stove. These pot skirts allow for varying sizes and number of pots, as well as allow traditional fuels to be used. Despite a usability focused design approach, the pot skirts still improved the technical performance of the cookstove by improving thermal efficiency by 25.8%, decreasing time to boil by 26.0%, and decreasing fuel consumption by 24.7%. These results demonstrate that a usability focused design can still yield significant performance improvements while achieving a high level of user functionality.",2015
"Feasibility Study of an Electrodialysis System for In-Home Water Desalination and Purification in Urban India","Desalination of high salinity water is an effective way of improving the aesthetic quality of drinking water and has been demonstrated to be a characteristic valued by consumers. Across India, 60% of the groundwater, the primary water source for millions, is brackish or contains a high salt content with total dissolved solids (TDS) ranging from 500 parts per million (ppm) to 3,000ppm. The government does not provide sufficient desalination treatment before the water reaches the tap of a consumer. Therefore consumers have turned to in-home desalination. However, current products are either expensive or have low recovery, product water output per untreated feed water, (∼30%) wasting water resources. Electrodialysis (ED) is a promising technology that desalinates water while maintaining higher recovery (up to 95%) compared to existing consumer reverse osmosis (RO) products. This paper first explores the in-home desalination market to determine critical design requirements for an in-home ED system. A model was then used to evaluate and optimize the performance of an ED stack at this scale and designated salinity range. Additionally, testing was conducted in order to validate the model and demonstrate feasibility. Finally, cost estimates of the proposed in-home ED system and product design concept are presented. The results of this work identified a system design that provides consumers with up to 80% recovery of feed water with cost and size competitive to currently available in-home RO products.",2015
"Development of Biomass Energy Technologies and Business Models for Southern Africa","This study evaluates options for biomass pellet formulations and business models to create a sustainable energy solution for cooking energy in Southern Africa. Various agricultural wastes and agro-processing wastes are investigated to meet industry standards on biomass pellet quality. These fuels are obtained from farms and facilities across a geographic area that affects the end-cost of the pellet through transportation costs and the cost of the biomass. The technical performance of the pellet and cost of the pellet are first contrasted and then optimized in unison to develop sustainable energy options that can provide year-round clean energy for household cooking and heating needs. A market was analyzed using wheat, sugarcane and maize crops as components for the biomass pellet fuel source in the Zululand district of South Africa. Using a target moisture content (MC",2015
"Non-Negative Matrix Factorization Based Uncertainty Quantification Method for Complex Networked Systems","The behavior of large networked systems with underlying complex nonlinear dynamic are hard to predict. With increasing number of states, the problem becomes even harder. Quantifying uncertainty in such systems by conventional methods requires high computational time and the accuracy obtained in estimating the state variables can also be low. This paper presents a novel computational Uncertainty Quantifying (UQ) method for complex networked systems. Our approach is to represent the complex systems as networks (graphs) whose nodes represent the dynamical units, and whose links stand for the interactions between them. First, we apply Non-negative Matrix Factorization (NMF) based decomposition method to partition the domain of the dynamical system into clusters, such that the inter-cluster interaction is minimized and the intra-cluster interaction is maximized. The decomposition method takes into account the dynamics of individual nodes to perform system decomposition. Initial validation results on two well-known dynamical systems have been performed. The validation results show that uncertainty propagation error quantified by RMS errors obtained through our algorithms are competitive or often better, compared to existing methods.",2015
"Autonomous Microgrid Design Using Classifier-Guided Sampling","Identifying high-performance, system-level microgrid designs is a significant challenge due to the overwhelming array of possible configurations. Uncertainty relating to loads, utility outages, renewable generation, and fossil generator reliability further complicates this design problem. In this paper, the performance of a candidate microgrid design is assessed by running a discrete event simulation that includes extended, unplanned utility outages during which microgrid performance statistics are computed. Uncertainty is addressed by simulating long operating times and computing average performance over many stochastic outage scenarios. Classifier-guided sampling, a Bayesian classifier-based optimization algorithm for computationally expensive design problems, is used to search and identify configurations that result in reduced average load not served while not exceeding a predetermined microgrid construction cost. The city of Hoboken, NJ, which sustained a severe outage following Hurricane Sandy in October, 2012, is used as an example of a location in which a well-designed microgrid could be of great benefit during an extended, unplanned utility outage. The optimization results illuminate design trends and provide insights into the traits of high-performance configurations.",2015
"Toward a Dedicated Failure Flow Arrestor Function Methodology","Risk analysis in engineering design is of paramount importance when developing complex systems or upgrading existing systems. In many complex systems, new generations of systems are expected to have decreased risk and increased reliability when compared with previous designs. For instance, within the American civilian nuclear power industry, the Nuclear Regulatory Commission (NRC) has progressively increased requirements for reliability and driven down the chance of radiological release beyond the plant site boundary. However, many ongoing complex system design efforts analyze risk after early major architecture decisions have been made. One promising method of bringing risk considerations earlier into the conceptual stages of the complex system design process is functional failure modeling. Function Failure Identification and Propagation (FFIP) and related methods began the push toward assessing risk using the functional modeling taxonomy. This paper advances the Dedicated Failure Flow Arrestor Function (DFFAF) method which incorporates dedicated Arrestor Functions (AFs) whose purpose is to stop failure flows from propagating along uncoupled failure flow pathways, as defined by Uncoupled Failure Flow State Reasoner (UFFSR). By doing this, DFFAF provides a new tool to the functional failure modeling toolbox for complex system engineers. This paper introduces DFFAF and provides an illustrative simplified civilian Pressurized Water Reactor (PWR) nuclear power plant case study.",2015
"Toward a Functional Failure Modeling Method of Representing Prognostic Systems During the Early Phases of Design","Current methods of functional failure risk analysis do not facilitate explicit modeling of systems equipped with Prognostics and Health Management (PHM) hardware. As PHM systems continue to grow in application and popularity within major complex systems industries (e.g. aerospace, automotive, civilian nuclear power plants), implementation of PHM modeling within the functional failure modeling methodologies will become useful for the early phases of complex system design and for analysis of existing complex systems. Functional failure modeling methods have been developed in recent years to assess risk in the early phases of complex system design. However, the methods of functional modeling have yet to include an explicit method for analyzing the effects of PHM systems on system failure probabilities. It is common practice within the systems health monitoring industry to design the PHM subsystems during the later stages of system design — typically after most major system architecture decisions have been made. This practice lends itself to the omission of considering PHM effects on the system during the early stages of design. This paper proposes a new method for analyzing PHM subsystems’ contribution to risk reduction in the early stages of complex system design. The Prognostic Systems Variable Configuration Comparison (PSVCC) eight-step method developed here expands upon existing methods of functional failure modeling by explicitly representing PHM subsystems. A generic pressurized water nuclear reactor primary coolant loop system is presented as a case study to illustrate the proposed method. The success of the proposed method promises more accurate modeling of complex systems equipped with PHM subsystems in the early phases of design.",2015
"A Multi-Objective Simulated Annealing Approach Towards 3D Packing Problems With Strong Constraints: CMOSA","This research concerns the packing problem frequently encountered in engineering design, where the volume and weight of a number of structural components such as valves and plumbing lines need to be minimized. Since in real applications the constraints are usually complex, the formulation of computationally tractable optimization becomes challenging. In this research, we propose a novel multiobjective simulated annealing (MOSA) approach towards the design optimization, i.e., optimizing the placement of valves under prescribed constraints to minimize the volume occupied, and the estimated plumbing line length. The objectives and constraints are described by analytical expressions. Our case study indicates that the new MOSA algorithm has relatively better performance towards 3D packing with strong constraints and the design can indeed be automated. The outcome of this research may benefit both existing manufacturing practice and future additive manufacturing.",2015
"B-Spline Based Robust Topology Optimization","In this paper, we present an extension of the B-spline based density representation to a robust formulation of topology optimization. In our B-spline based topology optimization approach, we use separate representations for material density distribution and analysis. B-splines are used as a representation of density and the usual finite elements are used for analysis. The density undergoes a Heaviside projection to reduce the grayness in the optimized structures. To ensure minimal length control so the resulting designs are robust with respect to manufacturing imprecision, we adopt a three-structure formulation during the optimization. That is, dilated, intermediate and eroded designs are used in the optimization formulation. We give an analytical description of minimal length of features in optimized designs. Numerical examples have been implemented on three common topology optimization problems: minimal compliance, heat conduction and compliant mechanism. They demonstrate that the proposed approach is effective in generating designs with crisp black/white transition and is accurate in minimal length control.",2015
"Exploring the Design Set Points of Refining Operation in Ladle for Cost Effective Desulfurization and Inclusion Removal","This paper is motivated by a need identified by steel makers, namely, the need to produce steel products with new and often more stringent set of specifications and enhanced performances (such as fatigue life and corrosion behavior) using existing equipment cost-effectively.",2015
"Numerical Methods for the Design of Meso-Structures: A Comparative Review","Over the past decade, there has been an increase in the intentional design of meso-structured materials that are optimized to target desired material properties. This paper reviews and critically compares common numerical methodologies and optimization techniques used to design these meso-structures by analyzing the methods themselves and published applications and results. Most of the reviewed research targets mechanical material properties, including effective stiffness and crushing energy absorption. The numerical methodologies reviewed include topology and size/shape optimization methods such as homogenization, Solid Isotropic Material with Penalization, and level sets. The optimization techniques reviewed include genetic algorithms (GAs), particle swarm optimization (PSO), gradient based, and exhaustive search methods. The research reviewed shows notable patterns. The literature reveals a push to apply topology optimization in an ever-growing number of 3-dimensional applications. Additionally, researchers are beginning to apply topology optimization and size/shape optimization to multiphysics problems. The research also shows notable gaps. Although PSOs are comparable evolutionary algorithms to GAs, the use of GAs dominates over PSOs. These patterns and gaps, along with others, are discussed in terms of possible future research in the design of meso-structured materials.",2015
"Towards Nonlinear Multimaterial Topology Optimization Using Unsupervised Machine Learning and Metamodel-Based Optimization","This work introduces a multimaterial density-based topology optimization method suitable for nonlinear structural problems. The proposed method consists of three stages: continuous density distribution, clustering, and metamodel-based optimization. The initial continuous density distribution is generated following a synthesis strategy without penalization, e.g., the hybrid cellular automaton (HCA) method. In the clustering stage, unsupervised machine learning (e.g., K-means clustering) is used to optimally classify the continuous density distribution into a finite number of clusters based on their similarity. Finally, a metamodel (e.g., Kriging interpolation) is generated and iteratively updated following a global optimization algorithm (e.g., genetic algorithms) to ultimately converge to an optimal material distribution. The proposed methodology is demonstrated with the design of multimaterial stiff (minimum compliance) structures, compliant mechanisms, and a thin-walled S-rail structure for crashworthiness.",2015
"Organizing Cells Within Non-Periodic Microarchitectured Materials That Achieve Graded Thermal Expansions","The aim of this paper is to introduce an approach for optimally organizing a variety of different unit cell designs within a large lattice such that the bulk behavior of the lattice exhibits a desired Young’s modulus with a graded change in thermal expansion over its geometry. This lattice, called a graded microarchitectured material, can be sandwiched between two other materials with different thermal expansion coefficients to accommodate their different expansions or contractions caused by changing temperature while achieving a desired uniform stiffness. First, this paper provides the theory necessary to calculate the thermal expansion and Young’s modulus of large multi-material lattices that consist of periodic (i.e., repeating) unit cells of the same design. Then it introduces the theory for calculating the graded thermal expansions of a large multimaterial lattice that consists of non-periodic unit cells of different designs. An approach is then provided for optimally designing and organizing different unit cells within a lattice such that both of its ends achieve the same thermal expansion as the two materials between which the lattice is sandwiched. A MATLAB tool is used to generate images of the undeformed and deformed lattices to verify their behavior and various examples are provided as case studies. The theory provided is also verified and validated using finite element analysis and experimentation.",2015
"Polytope Sector-Based Synthesis and Analysis of Microarchitectured Materials With Tunable Thermal Conductivity and Expansion","The aim of this paper is to (1) introduce an approach, called Polytope Sector-based Synthesis, for synthesizing 2D or 3D microstructural architectures that exhibit a desired bulk-property directionality (e.g., isotropic, cubic, orthotropic, etc.), and (2) provide general analytical methods that can be used to rapidly optimize the geometric parameters of these architectures such that they achieve a desired combination of bulk thermal conductivity and thermal expansion properties. Although the methods introduced can be applied to general beam-based microstructural architectures, we demonstrate their utility in the context of an architecture that can be tuned to achieve a large range of extreme thermal expansion coefficients — positive, zero, and negative. The material-property-combination region that can be achieved by this architecture is determined within an Ashby-material-property plot of thermal expansion vs. thermal conductivity using the analytical methods introduced. Both 2D and 3D versions of the design have been fabricated using projection microstereolithography.",2015
"A Set-Based Design Method for Material-Geometry Structures by Design Space Mapping","The objective of this work is a multiscale, set-based design method for mechanical components and their manufacturing processes and materials with interactive identification of feasible design regions. A unique aspect of the proposed method is the ability to adjust both material properties, through process planning, and part geometry, through exploration of various cellular structures (e.g., lattices, honeycombs), in order to achieve design goals. More specifically, the proposed design method can effectively explore the achievement of desired mechanical properties by controlling process conditions, material properties, and/or selecting appropriate feature configurations. Material process-property relationships and cellular structure structure-property relationships are modeled to create a comprehensive multiscale design space mapping database. Bayesian network classifiers enable real-time “inverse mapping” that identify feasible regions of the unit cell, feature, and process spaces, thus providing immediate feedback to the designer regarding the feasibility of the current component design. The design method is demonstrated on a class of mechanical components that are manufactured by electron-beam melting (EBM) in Ti-6Al-4V.",2015
"Generalized Viscoelastic Material Design With Integro-Differential Equations and Direct Optimal Control","Rheological material properties are examples of function-valued quantities that depend on frequency (linear viscoelasticity), input amplitude (nonlinear material behavior), or both. This dependence complicates the process of utilizing these systems in engineering design. In this article, we present a methodology to model and optimize design targets for such rheological material functions. We show that for linear viscoelastic systems simple engineering design assumptions can be relaxed from a conventional spring-dashpot model to a more general linear viscoelastic relaxation kernel, K(t). While this approach expands the design space and connects system-level performance with optimal material design functions, it entails significant numerical difficulties. Namely, the associated governing equations involve a convolution integral, thus forming a system of integro-differential equations. This complication has two important consequences: 1) the equations representing the dynamic system cannot be written in a standard state space form as the time derivative function depends on the entire past state history, and 2) the dependence on prior time-history increases time derivative function computational expense. Previous studies simplified this process by incorporating parameterizations of K(t) using viscoelastic models such as Maxwell or critical gel models. While these simplifications support efficient solution, they limit the type of viscoelastic materials that can be designed. This article introduces a more general approach that can explore arbitrary K(t) designs using direct optimal control methods. In this study, we analyze a nested direct optimal control approach to optimize linear viscoelastic systems with no restrictions on K(t). The study provides new insights into efficient optimization of systems modeled using integro-differential equations. The case study is based on a passive vibration isolator design problem. The resulting optimal K(t) functions can be viewed as early-stage design targets that are material agnostic and allow for creative material design solutions. These targets may be used for either material-specific selection or as targets for later-stage design of novel materials.",2015
"Heterogeneous Material Design Using a PCA-Based Microstructure Representing Method","A PCA (Principle Component Analysis)-based microstructure descriptor is proposed in this paper. The PCA process is performed on the microstructures of the material database, and is able to maintain the dominant geometric features using a small number of PCA basis. Moreover, this PCA-based descriptor also gives a closed-form expression between the microstructures within the design space and their physical properties. Previous approaches, for example, based on meta-modeling, involve much more expensive off-line finite element computations. Using this novel PCA-based descriptor, an approach to design a microstructure of optimal physical performance is proposed, taking the concrete case of linear elasticity analysis for demonstration.",2015
"A Geometry Projection Method for the Optimal Distribution of Short Fiber Reinforcements","This paper presents an optimization method for optimally distributing short fibers of variable length for the reinforcement of structural components for stiffness. Unlike standard density-based and level set topology optimization methods that generally render material distributions with variable member size, the proposed method projects an explicit geometry model onto a continuous density field. The proposed method inherits the benefits of density-based topology optimization methods, namely simplified and efficient primal and sensitivity analyses on a fixed grid, fast convergence, robustness, and amenability to standard finite element methods for the analysis and to nonlinear programming algorithms for the optimization. The explicit geometry representation of the fibers provides a suitable description of the short fibers, and therefore the designs produced by the proposed method have potential for manufacturing using, for example, processing methods for the fabrication of micro-architectured materials. Examples of reinforcement distribution design for two-dimensional structures in plane stress demonstrate the method.",2015
"A Structural Equation Modeling Based Approach for Identifying Key Descriptors in Microstructural Materials Design","In design of advanced heterogeneous materials system, microstructures play an important role as a link between processing and material properties. An accurate and efficient representation of material microstructures is necessary. Our prior work applied a supervised ranking algorithm to identify key microstructure descriptors, however the approach falls short in identifying redundancy in descriptors and is not reliable when the training sample size is small. In this paper, we propose a Structural Equation Modeling (SEM) based approach to identify significant microstructure descriptors based on either correlation functions (CF) or material properties, or both. By building a reflective structural model, we are able to deal with high correlations among all candidate descriptors, gain more insights into their relations, and identify latent factors for categorizing microstructure features. The proposed approach begins with an Exploratory Factor Analysis (EFA) for grouping and reducing descriptors to determine the proper structure of microstructure descriptors as indicators of latent factors. The SEM analysis is then applied to identify the key descriptors using the Partial Least Squares (PLS) algorithm. The nanodielectric system with epoxy-nanosilica is used as an example to illustrate and validate the proposed approach. The potential use of identified key microstructure descriptors for optimal design of microstructural materials is discussed.",2015
"On Design of Mechanical Metamaterials Using Level-Set Based Topology Optimization","Recently, engineered metamaterials have aroused considerable interests in many fields, due to their distinctive characteristics different from conventional materials. This paper proposes a level-set based topological optimization method for design of the mechanical metamaterials with negative Poisson’s ratio. The strain energy method is employed to predict the effective properties of the periodic microstructure. The adjoint variable method is applied to calculate the shape sensitivity, which is further used to construct the design velocity field. Finally, the level set method is applied to achieve shape evolution and topological changes of the microstructure until the desired materials properties like negative Poisson’s ratios are achieved.",2015
"Performance Comparison of a Bulk Thermoelectric Cooler With a Hybrid Device Architecture","This paper compares the economic viability and performance outcomes of two different thermoelectric device architectures to determine the advantages and appropriate use of each configuration. Hybrid thermoelectric coolers employ thin-film thermoelectric materials sandwiched between a plastic substrate and formed into a corrugated structure. Roll-to-roll manufacturing and low-cost polymer materials offer a cost advantage to the hybrid architecture at the sacrifice of performance capabilities while conventional bulk devices offer increased performance at a higher cost. Performance characteristics and cost information are developed for both hybrid and conventional bulk single-stage thermoelectric modules. The design variables include device geometry, electrical current input, and thermoelectric material type. The trade-offs between cooling performance and cost will be explored and the thermoelectric system configuration analyzed for both hybrid and conventional bulk thermoelectric coolers.",2015
"Topology Optimization of Cellular Materials With Maximized Energy Absorption","While topology optimization is typically employed for design at the component-level scale, it is increasingly being used to design the topology of high performance cellular materials. The design problem is posed as an optimization problem with governing unit cell and upscaling mechanics embedded in the formulation, and solved with formal mathematical programming. While design for linear elastic properties is generally well-established, this paper will discuss including nonlinear mechanics in the topology optimization formulation, also in the domain of cellular materials. In particular, the problem of maximizing total energy absorption of a cellular Bulk Metallic Glass material is considered and numerical and experimental analyses of the new design show that it has enhanced performance compared to conventional cellular topologies.",2015
"Tensegrity Form-Finding Using Generative Design Synthesis Approach","The aim of this research is to produce large irregular tensegrity structures using a generative design synthesis approach. Unlike most of the form-finding methods, the approach does not require the description of the connectivity of the tensegrity structures to define the shape of the tensegrities. It uses graphs to represent the tensegrity structures, which allows a very fast generation of stable tensegrity solutions for a given design problem. The graph grammar interpreter, GraphSynth, is used to carry out graph transformations, which define different configurations for a given design problem. After generating the graphs, they are transformed into meaningful 3D shapes. The effectiveness and robustness of the proposed method is checked by solving a variety of test problems.",2015
"Hierarchical Primitive Surface Classification From Triangulated Solids for Defining Part-to-Part Degrees of Freedom","Mesh segmentation is the process of organizing a set of data points into connected areas defined by known surface primitives or surface equations. Our approach is a hierarchical method based on clustering and Mamdani’s fuzzification system. First, a clustering algorithm is used to isolate regions of small and irregular oriented triangles, which make up a large portion of the total polygonal faces. Then, using fuzzification rule sets, the remaining triangles are made into meaningful primitives: cylinder, cone, sphere and flat. The end goal of this work is to use the primitives to define the degrees of freedom between mating parts in an assembly when such information is unknown or lost. The result of this process has proven to be accurate with well-defined borders with no need of additional post-processing steps.",2015
"Spiral Toolpaths for High-Speed Machining of 2D Pockets With or Without Islands","We describe new methods for the construction of spiral toolpaths for high-speed machining. In the simplest case, our method takes a polygon as input and a number δ > 0 and returns a spiral starting at a central point in the polygon, going around towards the boundary while morphing to the shape of the polygon. The spiral consists of linear segments and circular arcs, it is G",2015
"Multi-Sensor Reverse Engineering Technique for the Acquisition of Centrifugal Pump Impellers","The geometrical reconstruction of centrifugal pump impellers is a strategic activity for many manufacturing industries. In particular, the digitalization of internal hydraulic shapes represents the most critical task due to the difficulties in accessing the internal parts of impeller disks.",2015
"Dynamic Design Using the Kalman Filter for Flexible Systems With Epistemic Uncertainty","Most engineered systems have to exhibit a high degree of reliability and robustness. They are high in cost and complexity and often incorporate highly sophisticated materials, components, design and other technologies. Therefore, they face uncertainties in categories ranging from technical issues to market changes. This includes a wide range of epistemic uncertainties, such as demand or budget uncertainty; due to increasingly dynamic markets it has become important for systems to cope with these uncertainties. In this paper, a Kalman filter approach is applied to control the design as uncertainties are resolved in a discrete time frame. It is shown how the Kalman filter approach treats the design as a stochastic control problem, in which the design is controlled throughout its lifecycle to compensate for sources of epistemic uncertainty, as the uncertainties are resolved. The proposed method is applicable to flexible systems where changing the design is possible. A design framework is proposed encompassing a set of definitions, metrics, the methodology, and a case study of a spaceborne system.",2015
"Investigating the Heterogeneity of Product Feature Preferences Mined Using Online Product Data Streams","This work investigates the “must have” and “deal breaker” product feature preferences expressed by users of online platforms (e.g., customer review websites or social media networks) in order to inform designers of product features that should be investigated during the next iteration of a product’s launch. Existing design literature highlights the risks of aggregating group preferences, and suggest that design teams should instead, focus on maximizing enterprise value by optimizing the attributes of a product. However, design knowledge about products and product attributes are influenced by market information, which is dynamic and difficult to acquire. The use of online product review platforms has emerged in the design community as a viable source of product data acquisition and demand model prediction. However, as the heterogeneity of product preferences increases, so does the complexity of understanding which product attributes should be optimized by the design team to maximize enterprise value. These challenges are exacerbated in product preference acquisition techniques that rely on mining online data, as the customer is typically unknown to the designer, which limits the amount of follow up data available to be mined. By quantifying the degree of “must have” and “deal breaker” product preferences expressed online, designers will be able to understand what product-features should be omitted from next generation product design optimization models (i.e., “deal breaker” features) and what product features should be considered (i.e., “must have” features). A case study involving customer electronics mined from online customer review websites is used to demonstrate the validity of the proposed methodology.",2015
"Using Multivariate Analysis to Select Accommodation Boundary Manikins From a Population Database","Digital Human Models (DHMs) are a tool that can be used to aid in determining dimensions for human-centered designs. DHMs have the ability to represent the anthropometric extremes of the population and help to determine which dimensions should be used to acquire a certain level of accommodation within a population. It is not possible to use current techniques for selecting manikins that represent a population, like principal component analysis (PCA), the application of design families, or percentiles due to these methods having a lower output accommodation levels than expected. The purpose of this research is to provide a multivariate analysis based on Pareto optimization. This method determines a pool of manikins representing the total target population when comparing up to three anthropometric dimensions within a database. This pool will act as boundary manikins for a given level of accommodation.",2015
